carrier_code,flight_number,origin_code,destination_code,departure_local_time,arrival_local_time,arrival_day_offset,effective_start,effective_end,operating_days,equipment_code
F9,100,ATL,DEN,06:00,08:30,0,2026-08-01,2026-12-31,"1,2,3,4,5,6,7",319
F9,101,DEN,ATL,09:15,17:45,0,2026-08-01,2026-12-31,"1,2,3,4,5,6,7",319
F9,200,MCO,LAS,10:00,12:45,0,2026-08-01,2026-12-31,"1,2,3,5",738
F9,201,LAS,MCO,13:00,21:15,0,2026-08-01,2026-12-31,"1,2,3,5",738
F9,300,PHX,ATL,07:30,16:00,0,2026-08-01,2026-12-31,"2,4,6",319
F9,301,ATL,PHX,17:00,19:30,0,2026-08-01,2026-12-31,"2,4,6",319
F9,400,ORL,DEN,08:00,10:45,0,2026-08-01,2026-12-31,"1,3,5,7",320
F9,401,DEN,ORL,12:00,20:15,0,2026-08-01,2026-12-31,"1,3,5,7",320
F9,500,MCO,DEN,09:00,11:30,0,2026-08-01,2026-12-31,"1,2,4,5",738
F9,501,DEN,MCO,14:00,22:30,0,2026-08-01,2026-12-31,"1,2,4,5",738
F9,600,ATL,LAS,05:30,08:15,0,2026-08-01,2026-12-31,"3,4,5",319
F9,601,LAS,ATL,09:00,17:30,0,2026-08-01,2026-12-31,"3,4,5",319
